./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_7.txt ,127,12.5469,isetatnaintitintitionsieninteaeinenintinstetheeeenutnorieeeoesetieranetintitioistiuteeeeteoinetintereeseinontautitosettitonterl
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_0.txt ,147,13.4531,sentaofeisesetanaitcesierntootionerenrationiniiotiesiaratiseeenrieotiotineantoitititratiopeintitionitiftiroesttiainareaininerotereonstiintioititeee
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_1.txt ,149,17.7656,tiseatesinaertintnitostiearinostotineratintettreeationiniinteratisratineeenesoititonstieatnstintuitionstiettnteineenationnintereoraetealitotiitintela
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_8.txt ,128,12.3125,titnteatintitintitionsieeaintaineereationnteeeitonerieintetinatrintitionsieteteitutiisticetenteortierettionntaatitosittitonterli
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_1.txt ,142,12.9531,hisaereatesaninteenitononsintattteereationtoisiereainteaeietesnttionsandtoititistrtinetntitiontuitintratisiaintnaiteretintareenintontintiioite
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_9.txt ,125,11.7031,isetatanantitintitionsietaintereeinaitenionsnteeisteereintotinratintitionsiettitetnstioiontsteoinetintionntutitosettitonterli
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_2.txt ,146,17.0469,isetteationortinttintitionistiseeasiereentintereisteneoettionsoaatieatrieteeeetinanotitiioratoretetheatirenttintrrpresetatnontntiteoroaittitonteor
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_2.txt ,142,12.8906,tiaereaeaniteeeaatootnoreneatointitonsietaitationneeenarationeteeneeotionstnontetoietitonititeratineroratraeontonisteretierettinttinntitatinte
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_10.txt ,125,12.0469,tisteatnatitintitionsietaintenionsieeentinsetteotinutireeoeestieranetintitinttsteneoinntsteiretierettinontaatitoteititonterli
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_3.txt ,141,16.8906,isetateeetionnnetintitotisetieteeseenereentioneeeteteinoftintatieeeereatioeantetotinratositreateenttinstetieaetationtnanintereraaittitonterli
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_3.txt ,138,12.6875,tieatesaeranaitisieetrtonereneraitinoutoiieneratiseeereatinteeeaoettottionstoineeestiretionitintosseteatsitionsitereationatotenttiititraor
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_11_11.txt ,127,12.2812,titnteatintitintitionsieeaintaineereationnteeeitonerieinetintnratintitionsieteteitutiistietnteetieretinsintaiatereoeittionterli
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_4.txt ,137,12.8125,tiaerreeanraeerationnreneatottntitontisireeeresaeseetentoteretiotentettionstrationietitonitintosietieaaaoninstereatinsionntaitoteitinteli
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_4.txt ,141,17.0156,tierteaeanaitintratineeeaitintitionitineratiecreeeintettinstntoeeenoetsetonuititratosetintiionitiatsretthetineaeeatintortereonstittiititerlai
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_0.txt ,150,14.3125,istetheationaeintitoistifusettethestteenantitntreretionitnteationntetintititirateetionenintitionistceatinsintiionistireationintaaititotiusttionetereno
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_5.txt ,139,12.9062,tiaeratesaniaeeratootnoreneatointitonisieaintatisesteratioeatseotesieonttitrationietitonitinatosieertiarainstsatatereationtontinitiititraor
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_5.txt ,140,16.8281,isetateretionaeintitionfusetteresireentintrereationinttinstsatianeaetieetioftoraneoettiteatsitintutioereratonisttaninteeatoereraeittitnterli
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_1.txt ,150,14.2031,isaeeatenaetintinteseteritiontoosieneatinttioncaneesinrentatnatreatioetenieointutistianetetitonituitinisiterarinratraesttinteernintratontsittiititraor
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_6.txt ,136,12.5469,tiaeatesaniteranionortnointtottinneatisereaonteetnotereatioseteenesonttitrationietitonitinatosieeratiaraonntinsteetintaltiontntitonteter
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_2.txt ,145,13.4688,isetteationortinttintitionisitainttiseereresenttinstationeiniiteatationtnoranatoititionsietheetetinerenttnsteretataatintntaitutiatoraoaitatinteli
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_6.txt ,140,16.9688,seateatnatiiesotieeneritiontointottineaatiserestiteetnoerationsinenetiseteenieintuitiostifunotenaoitinrarrestintaatisntereraetoittiititealai
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_7.txt ,139,12.8125,tiaeatesaniteenationortnointtottinneatisereaonteetnoteratioeaoetenioettintuitistieatonittinsietiteaineritonisteretieareatintiontitiitoitrao
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_3.txt ,139,13.375,seteaeeneiionnenaintitionsteteaesiereenerereationeniontraatitatieeeneretionitinratorstitetineintonstietsrestitentaintaateroraeoeittionterli
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_7.txt ,140,16.7344,iseeeeeationaeintitotisetsisaneesierenonantitnreeraionsttinsetsanoteoeontitostinraatoiinintonsietsreseeinentaianntisatheroreanetaitotiinteai
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_8.txt ,135,12.4531,tieratesaeranaitionortnointtottinneatisereaonteetnoteratiosteeoetisftotieiteintutionitiftinopetrsiteaiaentaaetintrrerenttionntintereinr
./../../BS/LCS -alg 0 -beta 600 -guidance 3 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_4.txt ,142,13.2812,tierteaeanaitintratineeeaitintitionitineratiecreeeintettinstnteatoeeteteonuititratosieinttoitiftoreeseteittineraesetintoratintoentiiititeralor
./../../BS/LCS -alg 0 -beta 600 -guidance 2 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_9.txt ,133,12.4062,tiaeatesaniteenatinortnointtottinnraatisereeaoaieteereatioseeetoeenetetitieatosetinitntatnorinatratenionstintinterertitontitntiinteai
./../../BS/LCS -alg 0 -beta 600 -guidance 1 -k_filter 100 -ifile ../../Instances/text_case_study_k/neg_12_10_8.txt ,138,16.5156,seteaeraneintitintitionsienaiteetteenatinteoreatisteetnesnoetatoandoineeenatitiontioitinationeoitrtenaointintreseatintnntintutiotiitonterl
