600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_12.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,896.3,26,149,12.0088242,ntionitisestatanaintuitionistifusetsinintsiteraoneeneeetionsetteontionsieintiitieatretintitionitiftisreesttitionteointitioiereiaiatoentinistinoererei
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_13.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,892.7,26,142,11.8794401,ntutnitisetatanintuitionsusetsisineiereeeonneninareeeionetenteeesiutsoaproitititerestintitionitifetsresttionstaintinsitereitionetinttinceterei
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_14.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,888.5,26,142,12.0473194,ntutniticsetatanintuitionistifutininleeerrareenarinaeeensottionstsandenenntititrenintitionitifotionooseteaetinteecinisareiaitiontentiinticeree
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_15.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,888.4,26,149,12.9139773,itutniticsetatanintutoistifuzzysetsininereetinoncarianareteietenotonesetnnoenpetitreatsnintitionitifotionooeetaetineeeinionntereitionsetinttioititree
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_16.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,886.7,26,144,12.1134553,ntutniticsetatanintuitionistifutininleeerareseenarinteietentheaoeeeoosenntonitireateresintitionitiftitssetenionintinstuherorreonsttinitioiceteee
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_17.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,884.1,26,145,12.5722151,itutntiestatanaintuitionstcutaintaeeerraoneninarationeteneeesiutsoanprointititeresnintitionitifsetsitineintiionistuyheretereinitiontintitoncetere
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_18.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,869.7,26,141,11.8518031,itutniticsetatanintuitionistifutininleeerareseenarinteietentheeetniosenetonintititiontuitionititionseeriteraonttinstireteretiontnttiniticeree
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_19.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,856.7,26,141,11.8344491,itutniticsetatanintuitionistifutaineleerraeseenarinaetensottionstsandeeoeintititrestintitionitifoiitsetaetineeseinisitereiationtenttiiticeree
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_20.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,845.2,26,143,12.1646041,ntutniticsetatanintuitionistifutininleeerareseenarinteietenthtoesionenetonintititiontuitionititionsietithetineeseinisitereiationtentnisticetree
600 100 GMPSUM50 smpl1 ../../Instances/text_case_study_k/neg_12_10_21.txt BSCharp_GMPSUM50_CaseStudy_Beam_600_Filter_100.out.csv -1,GMPSUM50,10,888.6,26,144,12.3355992,tiseatanantionsiyetsitrinoisienraintnionsireationsetteortnerieietonnsiseeeetnteesitintuitioisiceonintoteenteateinttintereiatatrenteittiititerois
